,Date,Store,DayOfWeek,Sales,Open,Promo,StateHoliday,SchoolHoliday
540801,2014-05-01,353.0,4.0,9336.0,,1.0,a,0.0
540889,2014-05-01,335.0,4.0,10770.0,1.0,1.0,a,0.0
540921,2014-05-01,512.0,4.0,7793.0,1.0,1.0,a,0.0
540934,2014-05-01,494.0,4.0,9561.0,1.0,1.0,a,0.0
541003,2014-05-01,423.0,4.0,15078.0,1.0,,a,0.0
541068,2014-05-01,85.0,4.0,11656.0,1.0,1.0,a,0.0
541169,2014-05-01,54.0,4.0,5829.0,1.0,1.0,a,0.0
541209,2014-05-01,225.0,4.0,1824.0,1.0,1.0,a,0.0
541230,2014-05-01,274.0,4.0,6936.0,1.0,1.0,a,0.0
541242,2014-05-01,262.0,4.0,34814.0,1.0,1.0,a,1.0
541258,2014-05-01,259.0,4.0,18787.0,1.0,1.0,a,0.0
541388,2014-05-01,948.0,4.0,11725.0,1.0,1.0,a,0.0
541505,2014-05-01,1081.0,4.0,4174.0,1.0,1.0,a,0.0
541537,2014-05-01,1097.0,4.0,14353.0,1.0,1.0,a,0.0
541660,2014-05-01,682.0,4.0,8402.0,1.0,1.0,a,0.0
541674,2014-05-01,675.0,4.0,2557.0,1.0,1.0,a,0.0
541675,2014-05-01,676.0,4.0,13007.0,1.0,1.0,a,0.0
541702,2014-05-01,562.0,4.0,21501.0,1.0,1.0,a,0.0
541769,2014-05-01,769.0,4.0,12971.0,1.0,1.0,a,0.0
541870,2014-05-01,733.0,4.0,17003.0,1.0,1.0,a,0.0
541889,2014-05-02,372.0,5.0,13028.0,1.0,,0,0.0
541890,2014-05-02,368.0,5.0,12965.0,,1.0,0,0.0
541891,2014-05-02,369.0,5.0,8941.0,1.0,1.0,0,0.0
541892,2014-05-02,370.0,5.0,12927.0,1.0,1.0,0,0.0
541893,2014-05-02,371.0,5.0,9244.0,1.0,1.0,0,0.0
541894,2014-05-02,373.0,5.0,6740.0,1.0,1.0,0,0.0
541895,2014-05-02,380.0,5.0,20651.0,1.0,1.0,0,0.0
541897,2014-05-02,376.0,5.0,10976.0,1.0,1.0,0,1.0
541898,2014-05-02,377.0,5.0,11156.0,1.0,1.0,0,1.0
